        Cancer Stage             Protein       AUC
1       Breast     I                 AFP 0.6541141
2       Breast     I      Angiopoietin-2 0.5948276
3       Breast     I                 AXL 0.4899194
4       Breast     I              CA-125 0.4068273
5       Breast     I             CA 15-3 0.5091210
6       Breast     I              CA19-9 0.6050262
7       Breast     I                CD44 0.5229335
8       Breast     I                 CEA 0.6629464
9       Breast     I          CYFRA 21-1 0.4983259
10      Breast     I                DKK1 0.5512816
11      Breast     I            Endoglin 0.5213593
12      Breast     I                FGF2 0.5970597
13      Breast     I         Follistatin 0.5192811
14      Breast     I          Galectin-3 0.5898438
15      Breast     I               G-CSF 0.5933235
16      Breast     I               GDF15 0.6152248
17      Breast     I                 HE4 0.4588593
18      Breast     I                 HGF 0.5494728
19      Breast     I                IL-6 0.6325239
20      Breast     I                IL-8 0.7161715
21      Breast     I        Kallikrein-6 0.5547457
22      Breast     I              Leptin 0.6224985
23      Breast     I          Mesothelin 0.5258801
24      Breast     I             Midkine 0.5263648
25      Breast     I     Myeloperoxidase 0.5038678
26      Breast     I                 NSE 0.6848638
27      Breast     I                 OPG 0.5057343
28      Breast     I                 OPN 0.7406096
29      Breast     I                 PAR 0.5751396
30      Breast     I           Prolactin 0.7423414
31      Breast     I               sEGFR 0.5982087
32      Breast     I                sFas 0.5166076
33      Breast     I                SHBG 0.5837246
34      Breast     I sHER2/sEGFR2/sErbB2 0.5428040
35      Breast     I            sPECAM-1 0.5956886
36      Breast     I                TGFa 0.7108990
37      Breast     I    Thrombospondin-2 0.5104102
38      Breast     I              TIMP-1 0.5778941
39      Breast     I              TIMP-2 0.5213208
40      Breast    II                 AFP 0.5973014
41      Breast    II      Angiopoietin-2 0.5841922
42      Breast    II                 AXL 0.5925079
43      Breast    II              CA-125 0.4148950
44      Breast    II             CA 15-3 0.5291461
45      Breast    II              CA19-9 0.5911330
46      Breast    II                CD44 0.5414327
47      Breast    II                 CEA 0.5728221
48      Breast    II          CYFRA 21-1 0.4677264
49      Breast    II                DKK1 0.4910660
50      Breast    II            Endoglin 0.5155777
51      Breast    II                FGF2 0.5814536
52      Breast    II         Follistatin 0.5223133
53      Breast    II          Galectin-3 0.5723414
54      Breast    II               G-CSF 0.5706761
55      Breast    II               GDF15 0.6250756
56      Breast    II                 HE4 0.5347258
57      Breast    II                 HGF 0.6479237
58      Breast    II                IL-6 0.7241919
59      Breast    II                IL-8 0.7427567
60      Breast    II        Kallikrein-6 0.5108833
61      Breast    II              Leptin 0.6671744
62      Breast    II          Mesothelin 0.5269470
63      Breast    II             Midkine 0.5052240
64      Breast    II     Myeloperoxidase 0.6693674
65      Breast    II                 NSE 0.6028001
66      Breast    II                 OPG 0.5106462
67      Breast    II                 OPN 0.7314839
68      Breast    II                 PAR 0.6021124
69      Breast    II           Prolactin 0.7161762
70      Breast    II               sEGFR 0.7086435
71      Breast    II                sFas 0.5273271
